Food Name,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g)
Izgara Tavuk,326,10,20,5
Sebze Çorbası,420,10,20,5
Yoğurtlu Salata,362,10,20,5
Mercimek Çorbası,446,10,20,5
Kuru Fasulye,241,10,20,5
Izgara Balık,111,10,20,5
Zeytinyağlı Taze Fasulye,127,10,20,5
Nohut,371,10,20,5
Bulgur Pilavı,549,10,20,5
Izgara Köfte,138,10,20,5
Yoğurt,502,10,20,5
Enginar,357,10,20,5
Semizotu Salatası,100,10,20,5
Domates Çorbası,83,10,20,5
Tavuk Sote,76,10,20,5
Patlıcan Musakka,384,10,20,5
Zeytinyağlı Barbunya,96,10,20,5
Taze Fasulye,432,10,20,5
Havuçlu Salata,504,10,20,5
Mevsim Salata,294,10,20,5
Yoğurtlu Kabak,355,10,20,5
Kabak Mücver,231,10,20,5
Izgara Sebzeler,493,10,20,5
Pazı Kavurması,76,10,20,5
Cacık,578,10,20,5
Karnabahar Graten,586,10,20,5
Zeytinyağlı Kereviz,274,10,20,5
Limonlu Levrek,182,10,20,5
Fırında Somon,338,10,20,5
Buğday Salatası,386,10,20,5
Keşkek,235,10,20,5
Izgara Hindi,421,10,20,5
Sebzeli Güveç,245,10,20,5
Kabak Çorbası,146,10,20,5
Kinoa Salatası,208,10,20,5
Fırında Patates,154,10,20,5
Sebzeli Omlet,192,10,20,5
Taze Soğanlı Salata,391,10,20,5
Zeytinyağlı Enginar,313,10,20,5
Bakla,68,10,20,5
Yulaf Lapası,68,10,20,5
Dereotlu Cacık,202,10,20,5
Bulgurlu Köfte,445,10,20,5
Kısır,217,10,20,5
Tarhana Çorbası,330,10,20,5
Tavuklu Salata,552,10,20,5
Yoğurtlu Havuç,118,10,20,5
Izgara Şiş,508,10,20,5
Mezgit Buğulama,82,10,20,5
Börülce Salatası,173,10,20,5
Nar Ekşili Salata,554,10,20,5
Pancar Salatası,337,10,20,5
Şakşuka,556,10,20,5
Zeytinyağlı Dolma,236,10,20,5
Sebzeli Karnıyarık,308,10,20,5
Fırında Kabak,264,10,20,5
Taze Naneli Yoğurt,486,10,20,5
Mercimek Köftesi,456,10,20,5
Fırında Brokoli,339,10,20,5
Kabak Kavurması,95,10,20,5
Dereotlu Salata,384,10,20,5
Izgara Alabalık,378,10,20,5
Pirinç Pilavı,153,10,20,5
Sebzeli Makarna,242,10,20,5
Avokado Salatası,271,10,20,5
Karabuğday Salatası,411,10,20,5
Zeytinyağlı Lahana Sarması,307,10,20,5
Bulgur Çorbası,515,10,20,5
Fırında Hindi,178,10,20,5
Sebzeli Pilav,545,10,20,5
Domates Soslu Köfte,465,10,20,5
Cevizli Salata,546,10,20,5
Fırında Mantar,113,10,20,5
Zeytinyağlı Patlıcan,419,10,20,5
Bulgur Tabanlı Salata,308,10,20,5
Sebzeli Krep,451,10,20,5
Fırında Balkabağı,175,10,20,5
Havuç Çorbası,361,10,20,5
Kinoa Çorbası,410,10,20,5
Izgara Kalamar,243,10,20,5
Kremasız Sebze Çorbası,185,10,20,5
Narenciye Salatası,105,10,20,5
Avokado ve Domates Salatası,467,10,20,5
Taze Naneli Cacık,388,10,20,5
Izgara Mantar,443,10,20,5
Taze Yeşillik Salatası,433,10,20,5
Yoğurtlu Semizotu,74,10,20,5
Sebzeli Tavuklu Güveç,334,10,20,5
Limonlu Enginar,334,10,20,5
Bulgur Dolması,53,10,20,5
Yeşil Mercimek Çorbası,186,10,20,5
Izgara Deniz Mahsulleri,545,10,20,5
Zeytinyağlı Kabak,420,10,20,5
Sebzeli Lazanya,106,10,20,5
Keçi Peynirli Salata,329,10,20,5
Fırında Levrek,333,10,20,5
Taze Börülce,457,10,20,5
Sebzeli Mercimek Çorbası,495,10,20,5
Fırında Karnabahar,191,10,20,5
Izgara Sebze Şiş,199,10,20,5
Sebzeli Çorba,537,10,20,5
