Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol
1,Apple Pie,618,34.61,9.56,4.97,5.57,73.34,35.1,42.14,2.04,99
2,Baby Back Ribs,585,38.56,14.67,10.93,8.46,22.15,21.44,3.54,8.12,240
3,Baklava,414,16.56,5.49,5.33,1.84,29.9,1.04,9.07,1.42,50
4,Beef Carpaccio,237,4.89,17.63,8.55,3.41,17.55,36.6,25.69,5.54,99
5,Beef Tartare,465,23.58,15.3,1.56,7.43,75.4,13.33,33.43,7.75,248
6,Beet Salad,317,23.64,12.97,3.2,5.55,54.31,25.65,14.75,4.97,2
7,Beignets,196,23.88,3.19,7.36,7.17,50.47,3.36,23.99,9.79,76
8,Bibimbap,270,37.09,1.81,1.59,2.4,5.32,13.75,25.96,5.27,36
9,Bread Pudding,290,21.93,17.1,3.67,1.79,9.08,13.73,35.79,6.45,168
10,Breakfast Burrito,507,12.5,3.72,1.64,5.84,53.55,36.07,37.23,3.53,22
11,Bruschetta,644,19.14,6.0,5.39,3.33,37.43,36.51,43.3,3.51,91
12,Caesar Salad,197,35.39,12.59,9.18,0.57,18.07,8.24,6.44,6.72,124
13,Cannoli,532,5.06,14.61,8.83,8.04,70.42,27.75,22.36,6.46,20
14,Caprese Salad,664,24.16,3.9,1.35,3.95,51.32,28.1,19.71,2.14,187
15,Carrot Cake,244,7.71,14.89,12.09,8.38,30.33,37.03,9.17,2.8,205
16,Ceviche,599,28.55,6.9,1.14,7.35,56.88,11.8,8.79,6.63,30
17,Cheesecake,276,10.08,1.23,9.73,9.72,34.3,5.37,20.47,5.11,132
18,Cheese Plate,118,13.5,16.58,2.75,2.69,62.32,24.75,37.78,1.45,47
19,Chicken Curry,573,30.48,19.48,9.6,3.07,69.16,3.22,18.47,7.24,193
20,Chicken Quesadilla,501,28.05,4.86,1.52,9.52,8.17,3.17,43.9,5.75,173
21,Chicken Wings,587,3.98,8.41,11.2,2.89,17.55,18.94,39.49,2.81,165
22,Chocolate Cake,331,32.91,2.73,13.13,6.73,46.88,38.7,26.79,9.51,37
23,Chocolate Mousse,226,31.23,19.64,11.23,4.28,10.24,35.91,44.46,1.1,41
24,Churros,364,38.78,19.13,2.26,7.51,52.59,20.77,20.13,7.25,247
25,Clam Chowder,380,31.54,11.31,13.33,3.33,64.3,26.19,30.56,3.74,21
26,Club Sandwich,132,3.65,2.74,12.51,5.42,62.78,5.25,19.82,7.79,73
27,Crab Cakes,614,19.26,3.43,9.86,5.64,26.29,6.26,31.31,6.97,43
28,Creme Brulee,165,35.37,9.81,3.13,3.91,67.81,31.08,41.85,0.72,145
29,Croque Madame,611,7.41,2.25,6.99,6.2,36.75,4.18,43.65,3.84,131
30,Cup Cakes,354,21.72,12.15,9.78,8.69,40.7,18.8,11.71,3.83,20
31,Deviled Eggs,356,38.21,6.5,5.99,9.09,38.7,15.03,21.14,7.82,8
32,Donuts,581,13.75,9.49,2.63,4.3,76.75,37.44,11.35,5.68,150
33,Dumplings,574,36.91,11.33,12.8,9.72,52.01,15.97,25.9,2.21,19
34,Edamame,644,34.78,4.04,11.75,9.4,41.79,31.46,26.22,8.6,102
35,Eggs Benedict,636,32.55,17.01,14.1,4.2,38.67,19.19,41.25,8.13,127
36,Escargots,114,25.59,6.11,11.52,1.41,18.69,6.69,8.98,2.17,83
37,Falafel,511,12.15,13.25,9.11,9.45,37.25,23.2,11.32,4.04,43
38,Filet Mignon,376,15.76,6.97,1.04,7.92,51.89,22.4,4.63,4.39,205
39,Fish And Chips,471,14.64,18.33,4.53,7.37,68.79,35.15,4.79,3.85,154
40,Foie Gras,679,28.35,3.74,1.79,0.61,45.35,23.94,31.68,7.11,213
41,French Fries,550,35.94,5.24,9.56,5.55,77.95,6.43,16.57,9.95,226
42,French Onion Soup,288,21.04,4.47,7.89,5.92,10.98,14.95,21.52,6.6,57
43,French Toast,348,38.54,19.18,11.81,5.42,31.14,38.65,36.73,9.5,42
44,Fried Calamari,290,9.03,6.0,7.5,8.9,30.76,25.19,2.1,1.54,19
45,Fried Rice,306,38.34,16.97,6.41,1.36,29.68,9.08,12.1,8.97,225
46,Frozen Yogurt,223,9.5,14.73,8.84,3.88,18.49,15.6,6.81,6.48,146
47,Garlic Bread,677,6.14,9.51,2.4,2.85,38.17,3.63,7.36,6.77,3
48,Gnocchi,144,7.71,12.47,3.4,7.01,45.43,37.03,16.7,9.36,121
49,Greek Salad,479,9.72,19.17,11.99,2.72,65.98,39.26,46.52,7.43,192
50,Grilled Cheese Sandwich,380,26.67,4.96,13.11,1.91,44.36,14.05,7.99,9.8,19
51,Grilled Salmon,170,18.23,8.24,14.51,8.82,41.68,21.79,49.23,4.95,106
52,Guacamole,162,10.94,8.32,9.9,9.6,16.47,27.0,49.33,3.9,6
53,Gyoza,183,21.6,9.52,10.21,5.16,16.49,1.71,11.36,6.96,83
54,Hamburger,635,36.89,8.53,12.55,2.75,27.58,35.96,45.18,6.97,134
55,Hot And Sour Soup,188,39.88,17.43,14.87,0.72,48.4,39.17,31.32,8.57,91
56,Hot Dog,231,15.43,1.41,13.38,7.95,72.97,7.63,39.84,3.35,169
57,Huevos Rancheros,303,3.46,11.98,1.89,3.2,68.14,25.87,38.25,1.59,207
58,Hummus,508,37.81,15.76,1.58,7.56,50.16,4.27,35.0,9.7,91
59,Ice Cream,230,19.37,10.27,10.35,9.68,51.66,10.43,26.1,3.44,26
60,Lasagna,650,36.74,10.34,2.28,0.97,35.39,6.84,17.69,9.43,82
61,Lobster Bisque,146,24.38,4.95,4.21,1.66,20.02,32.67,38.07,2.19,198
62,Lobster Roll Sandwich,147,4.99,16.13,9.91,8.36,46.16,10.92,40.8,0.6,22
63,Macaroni And Cheese,445,11.41,18.03,6.34,2.75,25.0,7.79,45.37,1.21,61
64,Macarons,693,3.96,15.49,12.86,3.81,31.55,15.12,31.08,8.36,228
65,Miso Soup,455,33.68,1.93,14.98,0.67,57.11,21.92,45.84,1.9,240
66,Mussels,553,39.53,19.63,14.81,6.29,51.41,12.22,25.19,8.16,180
67,Nachos,236,24.34,3.48,3.69,2.05,29.15,2.0,4.42,9.89,79
68,Omelette,314,12.49,14.63,1.79,9.69,40.49,23.79,7.35,2.06,163
69,Onion Rings,371,2.13,13.16,10.85,1.41,17.52,11.56,35.93,8.42,4
70,Oysters,502,35.16,10.18,6.38,5.73,7.72,36.28,31.56,8.96,206
